"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"1","N/A",FALSE,"Entire loft","within a day",21,4.95,324,5,4.86,1.5,1434,"Coyoacán","Entire home/apt",3,1,1,1125,TRUE,4.86,4.86
"2","N/A",TRUE,"Entire guest suite","N/A",61,4.88,346,4.95,4.84,1,830,"Coyoacán","Entire home/apt",2,1,3,1125,TRUE,4.84,4.84
"3","90%",TRUE,"Entire rental unit","within an hour",39,4.71,87,4.58,4.71,2,1469,"Miguel Hidalgo","Entire home/apt",6,3,24,1125,TRUE,4.71,4.71
"4","N/A",TRUE,"Entire villa","N/A",0,4.75,363,4.83,4.71,1,3658,"Cuajimalpa de Morelos","Entire home/apt",2,1,1,7,TRUE,4.71,4.71
"5","86%",TRUE,"Entire home","within an hour",64,4.7,357,4.98,4.48,5.5,18000,"Cuauhtémoc","Entire home/apt",14,8,1,365,TRUE,4.48,4.48
"6","70%",TRUE,"Entire loft","within a few hours",78,4.71,240,5,4.83,2,2561,"Cuauhtémoc","Entire home/apt",2,1,2,30,TRUE,4.83,4.83
"7","95%",TRUE,"Entire condo","within an hour",84,4.88,144,4.75,4.79,1,650,"Cuauhtémoc","Entire home/apt",2,1,3,250,TRUE,4.79,4.79
"8","100%",TRUE,"Private room in home","within an hour",62,4.9,168,4.94,4.87,1,1089,"Cuauhtémoc","Private room",2,1,2,1125,TRUE,4.87,4.87
"9","100%",TRUE,"Entire condo","within an hour",18,4.75,156,4.88,4.81,1,943,"Cuauhtémoc","Entire home/apt",2,1,2,60,TRUE,4.81,4.81
"10","58%",TRUE,"Entire home","within a few hours",120,4.69,270,4.34,4.75,5.5,2561,"Cuauhtémoc","Entire home/apt",16,16,1,90,TRUE,4.75,4.75
"11","98%",TRUE,"Entire rental unit","within an hour",272,4.96,153,4.95,4.91,1,1881,"Cuauhtémoc","Entire home/apt",3,2,3,1125,TRUE,4.91,4.91
"12","73%",TRUE,"Entire rental unit","within a day",47,4.73,362,4.98,4.91,1,2088,"Cuauhtémoc","Entire home/apt",4,2,4,30,TRUE,4.91,4.91
"13","100%",TRUE,"Entire loft","within an hour",585,4.69,358,4.62,4.61,1,402,"Venustiano Carranza","Entire home/apt",2,2,1,1125,TRUE,4.61,4.61
"14","100%",TRUE,"Entire rental unit","within a day",114,4.95,145,4.96,4.92,1,1097,"Coyoacán","Entire home/apt",2,1,7,180,TRUE,4.92,4.92
"15","87%",TRUE,"Room in serviced apartment","within an hour",23,4.83,340,4.83,4.78,1,1006,"Cuauhtémoc","Hotel room",2,1,2,730,TRUE,4.78,4.78
"16","87%",TRUE,"Entire serviced apartment","within an hour",7,4.29,350,4.43,4.29,1,998,"Cuauhtémoc","Entire home/apt",2,1,2,730,TRUE,4.29,4.29
