,host_acceptance_rate,host_identity_verified,property_type,host_response_time,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,neighbourhood_cleansed,room_type,accommodates,beds,minimum_nights,maximum_nights,has_availability,review_scores_checkin,review_scores_communication
1,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,1,800.00,Vidigal,Entire home/apt,6,2,10,30,FALSE,4.68,4.68
2,N/A,FALSE,Shared room in home,N/A,1,4,0,4,5,1,407.00,Rio Comprido,Shared room,4,2,1,1125,FALSE,5,5
3,28%,TRUE,Entire rental unit,within an hour,1,4.73,362,4.86,4.68,1,334.00,Ipanema,Entire home/apt,3,1,3,1125,TRUE,4.68,4.68
4,92%,TRUE,Entire rental unit,within an hour,3,3.67,0,4.33,3.67,1,130.00,Botafogo,Entire home/apt,2,1,20,90,TRUE,3.67,3.67
5,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,6222.00,Barra da Tijuca,Entire home/apt,6,3,1,1125,FALSE,4.68,4.68
6,N/A,TRUE,Entire condo,N/A,0,4.73,89,4.86,4.68,0,140.00,Guaratiba,Entire home/apt,1,4,2,365,TRUE,4.68,4.68
7,0%,TRUE,Entire rental unit,N/A,15,4.93,0,4.4,4.67,1,383.00,Centro,Entire home/apt,2,1,5,180,TRUE,4.67,4.67
8,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,6,2000.00,Maracanã,Entire home/apt,12,12,10,20,FALSE,4.68,4.68
9,28%,TRUE,Entire rental unit,within an hour,0,4.73,365,4.86,4.68,2,1435.00,Ipanema,Entire home/apt,6,4,2,1125,TRUE,4.68,4.68
10,N/A,FALSE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,2,300.00,Centro,Private room,2,2,3,15,FALSE,4.68,4.68
11,0%,FALSE,Private room in home,N/A,0,4.73,0,4.86,4.68,1,200.00,Copacabana,Private room,2,1,3,30,FALSE,4.68,4.68
12,N/A,FALSE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,1.5,1436.00,Copacabana,Entire home/apt,3,2,1,1125,FALSE,4.68,4.68
13,67%,TRUE,Entire rental unit,within a day,0,4.73,364,4.86,4.68,2,350.00,Recreio dos Bandeirantes,Entire home/apt,6,2,10,1125,TRUE,4.68,4.68
14,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,1,900.00,Campinho,Entire home/apt,4,4,2,7,FALSE,4.68,4.68
15,100%,TRUE,Entire rental unit,within an hour,0,4.73,306,4.86,4.68,1,135.00,Centro,Entire home/apt,2,1,1,30,FALSE,4.68,4.68
16,28%,TRUE,Private room in hostel,within an hour,0,4.73,365,4.86,4.68,1,383.00,Copacabana,Private room,2,NA,1,1125,TRUE,4.68,4.68
17,73%,TRUE,Private room in home,within a few hours,18,4.36,365,4.43,4.29,1,277.00,Botafogo,Private room,2,2,8,365,TRUE,4.29,4.29
18,100%,TRUE,Entire loft,within an hour,106,4.71,76,4.88,4.59,1,191.00,Copacabana,Entire home/apt,4,2,3,10,TRUE,4.59,4.59
19,N/A,TRUE,Entire rental unit,N/A,0,4.73,364,4.86,4.68,2,900.00,Centro,Entire home/apt,4,2,2,365,TRUE,4.68,4.68
20,94%,FALSE,Entire rental unit,within an hour,0,4.73,115,4.86,4.68,2,457.00,Leme,Entire home/apt,3,2,2,1125,TRUE,4.68,4.68
21,N/A,FALSE,Entire rental unit,a few days or more,0,4.73,0,4.86,4.68,1,766.00,Botafogo,Entire home/apt,3,3,1,1125,FALSE,4.68,4.68
22,0%,FALSE,Private room in rental unit,N/A,0,4.73,364,4.86,4.68,1,703.00,Lagoa,Private room,2,2,1,365,TRUE,4.68,4.68
23,99%,TRUE,Entire rental unit,within a few hours,24,4.75,308,4.96,4.71,2,785.00,Copacabana,Entire home/apt,5,3,3,1125,TRUE,4.71,4.71
24,100%,FALSE,Shared room in rental unit,within an hour,0,4.73,76,4.86,4.68,1,65.00,Flamengo,Shared room,1,1,1,1125,TRUE,4.68,4.68
25,100%,TRUE,Entire loft,within an hour,59,4.95,86,4.86,4.81,1,216.00,Copacabana,Entire home/apt,4,2,2,20,TRUE,4.81,4.81
26,N/A,FALSE,Entire rental unit,N/A,2,4.5,0,5,4.5,1,2393.00,Ipanema,Entire home/apt,4,2,1,1125,FALSE,4.5,4.5
27,99%,TRUE,Private room in rental unit,within an hour,285,4.78,170,4.96,4.85,1,132.00,Ipanema,Private room,2,1,2,1125,TRUE,4.85,4.85
28,84%,TRUE,Entire rental unit,within a few hours,1,3,365,5,3,1,850.00,Santa Teresa,Entire home/apt,4,2,5,1125,TRUE,3,3
29,100%,TRUE,Entire rental unit,within an hour,11,4.45,181,4.91,4.64,2,284.00,Leme,Entire home/apt,8,8,1,30,TRUE,4.64,4.64
30,86%,TRUE,Entire home,within an hour,14,5,313,5,5,1,150.00,Centro,Entire home/apt,4,2,2,15,TRUE,5,5
31,0%,TRUE,Entire rental unit,within a day,1,4.73,4,4.86,4.68,1,180.00,Botafogo,Entire home/apt,2,2,5,1125,TRUE,4.68,4.68
32,100%,TRUE,Entire rental unit,N/A,4,5,6,5,4.75,1.5,329.00,Copacabana,Entire home/apt,4,2,3,365,TRUE,4.75,4.75
33,80%,TRUE,Entire rental unit,within a day,25,4.64,295,4.76,4.72,2,215.00,Copacabana,Entire home/apt,5,2,1,365,TRUE,4.72,4.72
34,60%,TRUE,Entire villa,within a few hours,24,4.96,60,4.96,4.75,1,110.00,Botafogo,Entire home/apt,1,1,2,60,TRUE,4.75,4.75
35,56%,TRUE,Private room in condo,within a few hours,0,4.73,365,4.86,4.68,1,400.00,Jacarepaguá,Private room,2,1,5,365,TRUE,4.68,4.68
36,92%,TRUE,Entire rental unit,within an hour,1,5,30,5,5,2,700.00,Ipanema,Entire home/apt,4,2,15,365,TRUE,5,5
37,100%,TRUE,Entire rental unit,within an hour,84,4.89,144,4.9,4.85,1,253.00,Copacabana,Entire home/apt,4,2,3,1125,TRUE,4.85,4.85
38,30%,TRUE,Private room in rental unit,within a day,3,5,365,5,5,1,200.00,Copacabana,Private room,2,1,2,60,TRUE,5,5
39,N/A,FALSE,Entire home,N/A,0,4.73,0,4.86,4.68,7,3829.00,Barra da Tijuca,Entire home/apt,10,7,15,30,FALSE,4.68,4.68
40,43%,TRUE,Entire rental unit,within an hour,0,4.73,301,4.86,4.68,1,265.00,Leblon,Entire home/apt,3,NA,30,30,TRUE,4.68,4.68
41,N/A,TRUE,Entire rental unit,N/A,0,4.73,0,4.86,4.68,2,1200.00,Jacarepaguá,Entire home/apt,5,5,1,1125,TRUE,4.68,4.68
